report_week,case_count_weekly_change
2/12/2020 - 2/18/2020,
2/19/2020 - 2/25/2020,
2/26/2020 - 3/3/2020,
3/4/2020 - 3/10/2020,
3/11/2020 - 3/17/2020,
6/13/2023-6/18/2023,256
5/12/2021 - 5/18/2021,1283
3/22/2022 - 3/28/2022,520
4/15/2020 - 4/21/2020,265
5/6/2020 - 5/12/2020,265
05/31/2022 - 06/06/2022,3598
5/23/2023 - 5/29/2023,271
10/26/2021 - 11/1/2021,1295
11/15/2022 - 11/21/2022,1296
11/25/2020 - 12/1/2020,5908
11/9/2021 - 11/15/2021,1557
03/21/2023 - 03/27/2023,791
10/19/2021 - 10/25/2021,1561
01/10/2023 - 01/16/2023,2841
8/16/2022 - 8/22/2022,4633
7/21/2021 - 7/27/2021,4122
8/17/2021-8/23/2021,8219
6/17/2020 - 6/23/2020,2591
2/24/2021 - 3/2/2021,3104
04/19/2022 - 04/25/2022,803
11/2/2021 - 11/8/2021,1061
1/27/2021 - 2/2/2021,13861
4/1/2020 - 4/7/2020,297
02/28/2023 - 03/06/2023,1065
2/1/2022 - 2/7/2022,12330
04/25/2023-05/1/2023,556
6/23/2021-6/29/2021,1070
3/17/2021 - 3/23/2021,1839
7/15/2020 - 7/21/2020,10800
03/08/2022 - 03/14/2022,561
9/2/2020 - 9/8/2020,1073
10/28/2020 - 11/3/2020,1588
12/27/2022 - 1/02/2023,3125
11/4/2020 - 11/10/2020,1847
4/8/2020 - 4/14/2020,312
2/3/2021 - 2/9/2021,7994
1/24/2023 - 1/30/2023,1339
5/5/2021 - 5/11/2021,1342
06/14/2022 - 06/20/2022,4671
1/6/2021 - 1/12/2021,12607
12/16/2020 - 12/22/2020,9024
10/21/2020 - 10/27/2020,1347
7/8/2020 - 7/14/2020,5187
09/12/2023 - 09/18/2023,2629
11/18/2020 - 11/24/2020,5190
3/18/2020 - 3/24/2020,72
7/12/2022 - 7/18/2022,6984
06/27/2023 - 07/03/2023,331
5/2/2023 - 5/8/2023 ,587
08/08/2023 - 08/14/2023,1612
8/12/2020 - 8/18/2020,1101
5/13/2020 - 5/19/2020,336
10/12/2021 - 10/18/2021,2129
4/7/2021 - 4/13/2021,2897
6/10/2020 - 6/16/2020,1363
03/14/2023 - 03/20/2023,596
7/27/2021 - 8/2/2021,8020
03/28/2023 - 04/03/2023,853
06/06/2023 - 06/12/2023,343
6/16/2021 - 6/22/2021,857
9/27/2023 - 10/3/2023,858
9/20/2023 - 9/26/2023,1114
9/9/2020 - 9/15/2020,2395
06/20/2023-06/26/2023,348
2/17/2021 - 2/23/2021,4703
8/29/2023 - 9/4/2023,2656
9/7/2021 - 9/13/2021,5728
