Date,Cases___Total
3/2/2020,0
3/1/2020,0
3/3/2020,0
3/15/2022,256
3/30/2023,256
7/2/2020,256
12/6/2023,1
3/4/2020,1
3/5/2020,1
3/13/2021,257
12/2/2020,2049
1/14/2022,3073
2/15/2021,258
11/5/2022,258
5/16/2020,514
6/25/2022,514
3/6/2020,3
3/7/2020,3
3/8/2020,3
3/24/2023,259
9/10/2021,515
5/20/2020,771
4/18/2022,771
10/26/2020,1539
3/10/2023,260
3/21/2023,260
3/9/2020,5
1/3/2022,9477
11/20/2022,262
9/15/2021,518
4/4/2022,518
7/24/2022,518
4/17/2020,774
12/15/2021,3590
2/6/2021,263
11/3/2021,519
12/21/2021,6919
3/23/2023,264
6/30/2020,264
5/9/2020,520
11/26/2020,265
7/10/2022,521
1/9/2022,2057
1/1/2021,266
7/1/2020,266
2/3/2023,266
5/14/2020,778
3/10/2020,11
12/22/2022,523
7/15/2020,268
7/31/2021,268
11/22/2020,780
3/11/2020,13
3/22/2022,269
6/12/2022,525
11/11/2021,525
6/8/2022,1037
2/3/2022,526
5/3/2022,1294
6/27/2021,15
5/8/2021,271
12/7/2020,2065
6/25/2023,18
7/4/2021,18
8/8/2021,274
4/30/2022,530
4/12/2022,530
6/11/2022,530
6/18/2023,19
3/21/2022,275
4/5/2022,531
11/2/2022,531
8/10/2021,531
11/2/2020,2323
7/2/2023,20
6/26/2021,20
12/18/2020,1300
6/11/2023,21
7/4/2023,21
3/12/2020,21
3/20/2021,277
12/27/2021,9237
6/24/2023,22
5/24/2020,278
4/18/2020,534
12/3/2020,2070
9/6/2021,279
5/1/2022,535
7/9/2023,24
10/30/2021,280
2/22/2022,280
5/29/2022,536
12/19/2021,2584
11/10/2020,3352
6/17/2023,25
4/9/2022,281
2/18/2022,281
2/25/2021,282
7/6/2020,282
9/1/2021,538
6/20/2021,27
6/10/2023,27
3/29/2020,283
6/13/2021,28
8/22/2021,284
11/27/2022,285
4/22/2020,1053
5/27/2022,1053
6/19/2021,30
6/4/2023,30
7/2/2022,542
5/21/2020,798
6/26/2023,31
3/14/2020,31
4/11/2022,543
11/14/2022,543
8/10/2022,799
7/1/2023,32
7/1/2021,32
6/22/2021,32
7/15/2023,32
3/13/2020,32
3/4/2021,288
11/7/2020,1568
1/19/2022,2336
7/5/2023,33
6/28/2023,33
6/3/2023,33
5/29/2023,33
