date,positiveIncrease
3/15/2020,0
3/13/2020,0
3/12/2020,0
3/9/2020,0
3/8/2020,0
3/5/2020,0
3/4/2020,0
12/2/2020,3840
12/6/2020,5376
3/10/2020,1
3/6/2020,1
3/17/2020,2
3/7/2020,2
9/18/2020,1282
3/14/2020,3
3/11/2020,3
9/25/2020,515
6/24/2020,1795
3/3/2021,1284
6/13/2020,1540
5/11/2020,261
7/2/2020,3333
3/16/2020,6
8/3/2020,1030
9/2/2020,519
8/28/2020,519
3/18/2020,8
6/4/2020,520
2/7/2021,1544
9/11/2020,521
6/23/2020,3593
1/16/2021,8715
2/21/2021,1804
7/1/2020,4877
3/1/2021,1039
3/19/2020,16
4/16/2020,272
10/20/2020,1040
12/27/2020,1296
4/17/2020,273
9/28/2020,273
6/28/2020,3857
1/19/2021,6417
10/28/2020,1043
5/3/2020,276
4/24/2020,276
6/10/2020,1556
3/20/2020,21
6/8/2020,789
7/27/2020,1813
5/30/2020,790
5/4/2020,279
7/20/2020,1559
7/6/2020,3352
1/18/2021,5400
4/11/2020,281
12/8/2020,12314
11/19/2020,4123
10/30/2020,1565
7/24/2020,3357
2/9/2021,4381
8/8/2020,1054
2/24/2021,1310
1/27/2021,5918
12/14/2020,11806
12/7/2020,1567
7/23/2020,2335
6/21/2020,2592
10/26/2020,801
10/29/2020,1315
2/17/2021,1315
6/17/2020,1827
7/29/2020,2339
1/11/2021,8995
4/9/2020,292
5/22/2020,293
6/20/2020,3109
12/15/2020,4134
1/4/2021,5158
1/6/2021,7206
12/31/2020,7718
3/21/2020,39
10/2/2020,551
11/28/2020,4136
6/5/2020,1579
5/24/2020,300
1/5/2021,5932
3/29/2020,46
11/4/2020,815
3/22/2020,48
8/9/2020,816
12/4/2020,5680
1/24/2021,7217
5/17/2020,306
2/28/2021,1075
4/23/2020,310
11/30/2020,822
11/21/2020,3638
8/24/2020,311
3/7/2021,1335
7/19/2020,2359
9/24/2020,568
5/1/2020,314
2/15/2021,1338
7/28/2020,2107
10/5/2020,316
11/7/2020,2620
1/28/2021,4671
12/10/2020,4928
2/4/2021,4417
12/3/2020,5442
9/30/2020,323
9/5/2020,835
9/3/2020,1092
12/21/2020,7748
5/8/2020,581
2/11/2021,1861
7/7/2020,3653
1/17/2021,6981
7/17/2020,3910
8/13/2020,1351
12/11/2020,6983
6/30/2020,4682
5/20/2020,331
1/1/2021,10060
7/13/2020,1357
11/15/2020,2383
9/8/2020,81
3/2/2021,849
7/3/2020,4433
12/1/2020,10322
