Date_Label,New_Cases
4/2/2020,294
4/2/2020,349
4/9/2020,336
4/29/2020,75
4/29/2020,147
4/30/2020,84
4/30/2020,175
5/2/2020,222
5/2/2020,253
5/12/2020,176
5/17/2020,243
5/19/2020,53
5/19/2020,161
6/2/2020,81
6/2/2020,263
6/4/2020,273
6/5/2020,266
6/6/2020,119
6/6/2020,293
6/8/2020,193
6/8/2020,219
6/10/2020,266
6/13/2020,58
6/13/2020,243
6/15/2020,224
6/15/2020,349
6/18/2020,308
6/19/2020,600
6/19/2020,806
6/20/2020,607
6/20/2020,887
6/22/2020,833
6/22/2020,1011
6/23/2020,493
6/23/2020,871
6/24/2020,736
6/24/2020,1088
6/25/2020,591
6/25/2020,859
6/26/2020,227
6/26/2020,556
6/27/2020,146
6/27/2020,402
6/29/2020,1113
6/29/2020,1233
6/30/2020,197
6/30/2020,452
7/1/2020,416
7/1/2020,1065
7/2/2020,377
7/2/2020,537
7/2/2020,914
7/3/2020,510
7/3/2020,919
7/4/2020,476
7/5/2020,325
7/5/2020,464
7/6/2020,639
7/6/2020,801
7/7/2020,307
7/7/2020,821
7/7/2020,1128
7/8/2020,271
7/8/2020,429
7/9/2020,223
7/9/2020,280
7/9/2020,503
7/10/2020,254
7/10/2020,488
7/10/2020,742
7/11/2020,204
7/11/2020,734
7/11/2020,938
7/12/2020,757
7/12/2020,916
7/13/2020,233
7/13/2020,884
7/13/2020,1117
7/14/2020,308
7/14/2020,596
7/14/2020,904
7/15/2020,341
7/15/2020,752
7/15/2020,1093
7/16/2020,476
7/16/2020,472
7/16/2020,948
7/17/2020,300
7/17/2020,510
7/17/2020,810
7/18/2020,413
7/18/2020,371
7/18/2020,784
7/19/2020,407
7/19/2020,623
7/20/2020,314
7/20/2020,549
7/20/2020,863
7/21/2020,461
7/21/2020,526
7/21/2020,987
7/22/2020,478
7/22/2020,434
7/22/2020,912
7/23/2020,422
7/23/2020,392
7/23/2020,814
7/24/2020,396
7/24/2020,383
7/24/2020,779
7/25/2020,404
7/25/2020,467
7/25/2020,871
7/26/2020,159
7/26/2020,269
7/26/2020,428
7/27/2020,286
7/27/2020,168
7/27/2020,454
7/28/2020,434
7/28/2020,346
7/28/2020,780
7/29/2020,289
7/29/2020,390
7/29/2020,679
7/30/2020,222
7/30/2020,275
7/30/2020,497
7/31/2020,398
7/31/2020,149
7/31/2020,547
8/1/2020,309
8/1/2020,183
8/1/2020,492
8/2/2020,272
8/2/2020,880
8/2/2020,1152
8/3/2020,174
8/3/2020,443
8/3/2020,617
8/4/2020,371
8/4/2020,520
8/4/2020,891
8/5/2020,360
8/5/2020,269
8/5/2020,629
8/6/2020,283
8/6/2020,148
8/6/2020,431
8/7/2020,229
8/7/2020,173
8/7/2020,402
8/8/2020,304
8/8/2020,363
8/8/2020,667
8/9/2020,317
8/9/2020,419
8/9/2020,736
8/10/2020,117
8/10/2020,325
8/10/2020,442
8/11/2020,251
8/11/2020,183
8/11/2020,434
8/12/2020,265
8/12/2020,174
8/12/2020,439
8/13/2020,161
8/13/2020,179
8/13/2020,340
8/14/2020,381
8/14/2020,158
8/14/2020,539
8/15/2020,212
8/15/2020,279
8/15/2020,491
8/16/2020,136
8/16/2020,132
8/16/2020,268
8/17/2020,73
8/17/2020,111
8/17/2020,184
8/18/2020,235
8/18/2020,165
8/18/2020,400
8/19/2020,162
8/19/2020,198
8/19/2020,360
8/20/2020,80
8/20/2020,142
8/20/2020,222
8/21/2020,51
8/21/2020,216
8/21/2020,267
8/22/2020,107
8/22/2020,213
8/23/2020,218
8/23/2020,332
8/23/2020,550
8/24/2020,234
8/24/2020,141
8/24/2020,375
8/25/2020,140
8/25/2020,178
8/25/2020,318
8/26/2020,102
8/26/2020,98
8/26/2020,200
8/27/2020,81
8/27/2020,49
8/27/2020,130
8/28/2020,21
8/28/2020,136
8/28/2020,157
8/29/2020,95
8/29/2020,223
8/29/2020,318
8/30/2020,117
8/30/2020,178
8/30/2020,295
8/31/2020,145
8/31/2020,2
8/31/2020,147
9/1/2020,222
9/1/2020,306
9/2/2020,186
9/2/2020,106
9/2/2020,292
9/3/2020,120
9/3/2020,190
9/3/2020,310
9/4/2020,177
9/4/2020,106
9/4/2020,283
9/5/2020,97
9/5/2020,123
9/5/2020,220
9/6/2020,50
9/6/2020,153
9/6/2020,203
9/7/2020,58
