date_of_interest,CASE_COUNT
3/1/2020,0
3/2/2020,0
1/29/2022,512
9/10/2022,1024
7/30/2021,1280
8/23/2022,2048
2/29/2020,1
3/3/2020,1
8/19/2020,257
5/27/2021,257
11/5/2021,769
11/14/2020,1025
2/18/2021,2049
4/3/2021,2049
12/4/2020,2817
6/24/2022,2817
5/9/2022,4353
1/26/2021,4865
10/14/2021,1026
11/12/2022,1538
4/14/2022,2306
4/17/2020,3586
3/5/2020,3
7/11/2020,259
6/3/2020,515
10/12/2020,515
2/4/2022,1539
5/13/2021,516
11/12/2021,1028
10/15/2022,1028
11/11/2020,1540
12/23/2020,3844
7/6/2022,4356
3/4/2020,5
6/4/2020,517
5/12/2020,1285
7/31/2020,262
3/22/2022,1286
1/12/2022,18438
3/7/2020,7
8/11/2020,263
9/13/2020,263
3/27/2022,775
12/22/2020,4103
3/6/2020,8
4/23/2021,1288
9/7/2022,1800
2/6/2021,3080
11/9/2020,1545
5/5/2021,778
3/15/2020,1034
11/21/2020,1290
7/29/2021,1290
3/25/2020,4874
6/26/2022,2059
7/18/2022,4363
10/9/2020,524
11/1/2021,780
5/22/2020,1036
9/23/2021,1292
9/10/2021,1548
8/11/2022,2316
5/6/2022,3084
11/6/2020,1037
9/11/2021,1037
11/9/2021,1037
6/18/2022,1805
11/23/2020,2317
8/1/2022,3853
10/8/2020,526
5/4/2020,1550
1/5/2021,6158
9/2/2020,271
10/28/2020,783
3/9/2021,3343
1/2/2022,32527
7/11/2021,272
5/6/2021,784
4/8/2021,2576
9/3/2020,273
6/15/2022,2833
12/10/2021,3089
12/28/2020,5393
7/30/2020,274
8/27/2020,274
8/13/2022,1298
6/25/2022,2066
11/7/2022,2834
11/25/2021,531
5/3/2020,787
8/13/2020,276
11/8/2020,788
9/12/2022,2068
3/22/2020,2580
6/29/2022,3604
3/8/2020,21
8/14/2020,277
9/1/2021,1557
12/25/2020,1046
1/19/2021,5142
8/18/2021,1815
11/29/2021,2327
2/2/2022,2327
1/9/2022,14359
8/28/2020,280
9/26/2020,280
5/16/2021,280
9/21/2021,1304
11/16/2022,2328
6/1/2022,3608
10/11/2020,281
8/14/2021,1049
11/10/2021,1049
8/20/2021,1561
4/22/2022,1817
10/17/2022,2073
4/23/2020,2841
2/3/2021,5145
5/26/2020,1050
4/18/2021,1050
11/24/2020,2074
4/4/2020,3866
8/18/2020,283
8/25/2020,283
2/25/2022,539
10/21/2022,1563
10/24/2022,2332
10/7/2020,541
4/29/2021,1053
7/30/2022,1821
5/22/2022,2333
9/24/2020,542
10/19/2021,798
11/18/2021,1310
7/29/2020,287
11/7/2021,543
3/21/2022,1311
8/6/2020,288
10/20/2021,800
9/14/2022,1824
4/11/2022,2592
6/1/2021,289
9/19/2021,1057
